_id,FISCAL_YEAR,CAR_CHC_ID,REFERENCE_NUMBER,SELECTION_PROCESS_NUMBER,CREATION_DATE,OPEN_DATE,CLOSE_DATE,DAYS_TO_OPEN,NUMBER_DAYS_OPEN,INTERNAL_INDICATOR,EXTERNAL_INDICATOR,POSITION_TITLE_E,POSITION_TITLE_F,CLASSIFICATIONS,CLASSIFICATION_COUNT,PSC_ADMIN,NATIONAL,EE_ORGANIZ_GENDER,EE_ORGANIZ_VISMIN,SCRNG_TOOL_OFFICIAL_LANGUAGE,SCRNG_TOOL_SCREENING_QUESTIONS,SCRNG_TOOL_TEXT_QUESTIONS,SCRNG_TOOL_EXP_QUESTIONNAIRE,SCRNG_TOOL_UIT,SCRNG_TOOL_EDUCATION,INDETERMINATE,SPECIFIED_TERM,ACTING,ASSIGNMENT,DEPLOYMENT,SECONDMENT,VARIOUS_WORK_LOCATION,PROV_CNT,CAF_SUBMITTED,CAF_IN,CAF_OUT,NOC,NAPA,NAA,administrator_region_e,administrator_region_f,advertisement_type_e,advertisement_type_f,city_count,city_name_e,city_name_f,organization_e,organization_f,organization_code,advertisement_url_e,advertisement_url_f,recruitment_program_e,recruitment_program_f,province_name_e,province_name_f,psea_e,psea_f,source_system_e,source_system_f,status_e,status_f,ee_criterion_gender,ee_criterion_indigenous,ee_criterion_vismin,ee_criterion_pwd,ee_organiz_pwd,ee_organiz_indigenous,TOTAL_SUBMITTED_SUP,TOTAL_IN_SUP,TOTAL_OUT_SUP,SCRNG_TOOL_OCC_CERT,women_submitted_SUP,vismin_submitted_SUP,indigenous_submitted_SUP,pwd_submitted_SUP,french_submitted_SUP,english_submitted_SUP,citizen_submitted_SUP,permanent_resident_submitted_SUP,ee_submitted_SUP
11,2023-2024,1606682,SVC21J-019748-000004,2021-SVC-ATL-IA-392291-1,14MAY2021,15JUN2021,14JUN2023,31,729,1,0,Join a Dynamic Team!  At level opportunities,Joignez-vous à une équipe dynamique!  possibilités demploi au niveau dattache,"AS01,AS02,CR04",3,0, ,1,1,1,1, , , , , , ,1,1,1, ,1,3,2,2,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,5,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1606682&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1606682&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,195,194,*, ,142,38,13,29,69,126,180,*,164
12,2023-2024,1607481,DND21J-019832-000275,21-DND-EA-MPC-477026,17MAY2021,01JUN2021,31MAY2023,14,729,0,1,Social Worker - Inventory,Travailleur(se) social(e) - Répertoire,SWSCW02,1,0,1,0,0,1,1, , , , ,1,1, , , , ,1,9,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,24,MULTIPLE,MULTIPLE,National Defence,Defense nationale,DND,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1607481&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1607481&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,148,67,81, ,95,44,11,9,39,109,118,*,114
13,2023-2024,1607584,SVC21J-022303-000051,2021-SVC-EDM-EA-394705,17MAY2021,06JUL2021,05JUL2023,49,729,0,1,Human Resources Assistant - Inventory  (*AMENDMENT*),Adjoint(e) aux ressources humaines - Inventaire  (*MODIFICATION*),CR05,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,2,0,0,0, , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1607584&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1607584&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,339,194,145, ,261,156,10,19,21,318,198,*,298
14,2023-2024,1607637,DFO21J-017927-000117,21-DFO-MAR-EA-HRCS-310213,17MAY2021,25MAY2021,31MAR2023,7,675,0,1,"Leadership Opportunities with Fisheries and Oceans Canada, Maritimes Region","Postes de direction à Pêches et Océans Canada, région des Maritimes", , ,0,0,0,0,1,1, , , , ,1,1, , , , ,1,0,0,0,0, , , ,Atlantic,Atlantique,Inventory Advertisement,Affiche de repertoire,0,NA,S. O.,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1607637&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1607637&toggleLanguage=fr,JOP,POP,NA,S. O.,YES,OUI,PSRS,SRFP,Closed,Fermé,1,1,1,1,0,0,*,*,*, ,*,*,*,*,*,*,*,*,*
15,2023-2024,1609137,MOT21J-020801-000033,21-MOT-EA-HRS-23465-1,19MAY2021,19MAY2021,18MAY2023,0,729,0,1,Civil Aviation Safety Inspector (Inventory),Inspecteur(trice) de la sécurité de l'aviation civile (Inventaire),AOCAI03,1,0,1,1,1,1,1, , , , ,1, , , , , ,1,4,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,4,MULTIPLE,MULTIPLE,Transport Canada,Transports Canada,MOT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1609137&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1609137&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,33,8,25, ,6,8,*,*,10,23,22,*,14
16,2023-2024,1610499,SVC21J-022950-000056,2021-SVC-EDM-EA-396031,21MAY2021,16JUN2021,15JUN2023,25,729,0,1,Area Project Team Leader **AMENDMENT**,Chef déquipe de projet pour un secteur  **MODIFICATION**,EG07,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,3,0,0,0, , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Inventory Advertisement,Affiche de repertoire,4,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1610499&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1610499&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,49,28,21, ,18,22,*,*,*,*,32,*,32
17,2023-2024,1617246,AGR21J-020806-000031,21-AGR-NCR-IA-PAB-001937-1,07JUN2021,07JUN2021,31MAR2023,0,662,1,0,Feel like a change? Join AAFC for an at-level IS-06!,Besoin de changement? Joignez-vous à AAC au niveau IS-06 ou équivalent !,IS06,1,0, ,1,1,1,1, , , , ,1, ,1,1,1, ,1,10,0,0, , , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,13,MULTIPLE,MULTIPLE,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada,AGR,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1617246&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1617246&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
18,2023-2024,1620909,CSD21J-017934-000559,2021-CSD-EA-ATL-0086364,14JUN2021,18JUN2021,12JUN2023,3,724,0,1,Financial Services Clerk (Inventory),Commis aux services financiers (répertoire),CR04,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Moncton,Moncton,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1620909&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1620909&toggleLanguage=fr,JOP,POP,New Brunswick,Nouveau-Brunswick,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,89,82,7, ,48,27,*,*,51,38,43,*,61
19,2023-2024,1621918,SVC21J-020242-000208,2021-SVC-QUE-EA-397157,15JUN2021,28JUN2021,12JUN2023,12,714,0,1,Print  Insertion Operator,Opérateur(rice) impression  insertion,DAPRO03,1,0,1,1,1,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,1,Quebec,Quebec,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1621918&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1621918&toggleLanguage=fr,JOP,POP,Quebec,Québec,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,1,1,51,39,12, ,20,8,*,*,42,9,24,*,24
20,2023-2024,1623190,MOT21J-018091-000377,21-MOT-EA-HRS-23851,17JUN2021,06AUG2021,17JUN2023,49,680,0,1,Bilingual Analyst and Compliance Officer,Bilingue Analyste/Agent (e) de conformité,PM04,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Ottawa,Ottawa,Transport Canada,Transports Canada,MOT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1623190&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1623190&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,164,136,28, ,72,69,*,12,100,64,126,*,108
21,2023-2024,1624757,EXT21J-023159-000205,21-EXT-EA-KL-1031323,22JUN2021,30JUN2021,01MAY2023,7,670,0,1,Watch and Security Manager at Global Affairs Canada  Inventory,Gestionnaire de la surveillance et de la sécurité à Affaires mondiale Canada  Répertoire,AS06,1,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,1,Ottawa,Ottawa,Global Affairs Canada,Affaires mondiales Canada,EXT,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1624757&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1624757&toggleLanguage=fr,JOP,POP,Ontario,Ontario,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,99,41,58, ,20,37,*,5,53,46,79,*,57
22,2023-2024,1627660,IMC21J-019448-000097,2021-IMC-EA-36485,28JUN2021,05AUG2021,04AUG2023,37,729,0,1,Foreign Service Development Program (FSDP),Programme de perfectionnement du service extérieur (PPSE),FS01,1,0,1,0,0,1,1, , ,1, ,1, , , , , ,1,2,0,0,0, , , ,National Capital,Capitale Nationale,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,"Immigration, Refugees and Citizenship Canada","Immigration, Refugies et Citoyennete Canada",IMC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1627660&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1627660&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,4380,1902,2478, ,1984,2394,75,243,1150,3230,2775,*,3286
23,2023-2024,1633048,SVC21J-020941-000087,2021-SVC-EDM-EA-398775,09JUL2021,16JUL2021,14JUL2023,6,728,0,1,Project Management Administrator (*Amendment*),Administrateur/administratrice de gestion de projet (*MODIFICATION*),AS01,1,0,1,1,1,1,1, , , , ,1,1, , , , ,1,3,0,0,0, , , ,Central Prairies and Nunavut,Prairies centrales et Nunavut,Inventory Advertisement,Affiche de repertoire,4,MULTIPLE,MULTIPLE,Public Services and Procurement Canada,Services publics et Approvisionnement Canada,SVC,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1633048&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1633048&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,120,49,71, ,69,55,5,8,5,115,68,*,96
24,2023-2024,1634406,DFO21J-019892-000781,21-DFO-WCCG-EA-CCG-316437a,13JUL2021,13JUL2021,12JUL2023,0,729,0,1,Engineering Officer,Officier en mécanique,"SOMAO03,SOMAO04",2,0,1,0,0,1,1, , , , ,1,1, , , , ,0,1,0,0,0, , , ,British Columbia and Yukon,Colombie-Britannique et Yukon,Inventory Advertisement,Affiche de repertoire,1,Victoria,Victoria,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1634406&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1634406&toggleLanguage=fr,JOP,POP,British Columbia,Colombie-Britannique,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,0,0,12,*,9, ,*,*,*,*,*,*,*,*,
25,2023-2024,1634561,CSD21J-009547-000881,2021-CSD-EA-WT-0100687,13JUL2021,16AUG2021,14APR2023,33,606,0,1,Medical Adjudicator (Nurses),Évaluateurs médicaux (Infirmiers/Infirmières),NUEMA01,1,0,1,0,0,1, , , , , ,1,1, , , , ,1,3,0,0, , , , ,Alberta and Northwest Territories,Alberta et Territoires du Nord-Ouest,Inventory Advertisement,Affiche de repertoire,3,MULTIPLE,MULTIPLE,Employment and Social Development Canada,Emploi et Developpement social Canada,CSD,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1634561&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1634561&toggleLanguage=fr,JOP,POP,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Closed,Fermé,0,0,0,0,0,0,31,31,*, ,28,14,*,*,*,*,28,*,29
26,2023-2024,1635281,DFO21J-015233-001522,21-DFO-CEN-IA-CCG-317411,14JUL2021,19JUL2021,18JUL2023,4,729,1,0,INVENTORY - Commanding Officer,RÉPERTOIRE - Commandant,"SOMAO10,SOMAO11,SOMAO12",3,0, ,1,1,1,1, , , , ,1,1, , , , ,1,2,0,0, , , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1635281&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1635281&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,*,*,*, ,*,*,*,*,*,*,*,*,*
27,2023-2024,1635282,DFO21J-015233-001523,21-DFO-CEN-IA-CCG-317410,14JUL2021,19JUL2021,18JUL2023,4,729,1,0,INVENTORY - Chief engineer,RÉPERTOIRE - Chef mécanicien,"SOMAO09,SOMAO10,SOMAO11",3,0, ,1,1,1,1, , , , ,1,1, , , , ,1,2,0,0, , , , ,Quebec,Québec,Inventory Advertisement,Affiche de repertoire,2,MULTIPLE,MULTIPLE,Fisheries and Oceans Canada,Peches et Oceans Canada,DFO,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1635282&toggleLanguage=en,https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1635282&toggleLanguage=fr,INT,INT,MULTIPLE,MULTIPLE,YES,OUI,PSRS,SRFP,Open,Ouvert,0,0,0,0,1,1,5,5,*, ,*,*,*,*,*,*,5,*,
